상호명,센터구분,시도명,시군구명,소재지도로명주소,소재지지번주소,신고구분,전화번호,운영기관명,기부물품명,대표자명,총직원수,데이터기준일자,제공기관코드,제공기관명
미추홀구기초푸드뱅크,푸드뱅크,인천광역시,미추홀구,인천광역시 미추홀구 장고개로42번길 30,,당연신고,032-861-1377,인천종합사회복지관,제조·가공식품+농·수·축산물+생필품 등,이승연,1,2024-07-26,3510500,인천광역시 미추홀구
미추홀구푸드마켓1호점,푸드마켓,인천광역시,미추홀구,인천광역시 미추홀구 장고개로42번길 30,,당연신고,032-875-1377,인천종합사회복지관,제조·가공식품+농·수·축산물+생필품 등,이승연,2,2024-07-26,3510500,인천광역시 미추홀구
미추홀구푸드마켓2호점,푸드마켓,인천광역시,미추홀구,인천광역시 미추홀구 인주대로 127,,당연신고,032-889-1377,한일순복음교회,제조·가공식품+농·수·축산물+생필품 등,신덕수,2,2024-07-26,3510500,인천광역시 미추홀구
금산군 푸드뱅크,푸드뱅크,충청남도,금산군,충청남도 금산군 군북면 일흔이재로 112,충청남도 금산군 군북면 내부리 315-3,당연신고,041-752-7942,충남금산지역자활센터,가공식품+신선식품,임내규,1,2024-07-30,4550000,충청남도 금산군
합천푸드뱅크,푸드뱅크,경상남도,합천군,경상남도 합천군 합천읍 중앙로 33-2,,임의신고,055-931-2370,경상남도 합천군청,,금영자,,2024-07-26,5480000,경상남도 합천군
산격푸드뱅크,푸드뱅크,대구광역시,북구,대구광역시 북구 연암로 183,,임의신고,053-381-9193,산격종합사회복지관,가공식품 등,,,2024-07-22,3450000,대구광역시 북구
사랑나눔푸드마켓,푸드마켓,대구광역시,북구,대구광역시 북구 관음동로9길 10-25,,당연신고,053-323-2297,선린종합사회복지관,가공식품 등,,,2024-07-22,3450000,대구광역시 북구
희망나눔푸드마켓,푸드마켓,대구광역시,북구,대구광역시 북구 산격로9길15,,당연신고,053-955-8310,가정종합사회복지관,가공식품 등,,,2024-07-22,3450000,대구광역시 북구
본동푸드뱅크,푸드뱅크,대구광역시,달서구,대구광역시 달서구 구마로14남길 48,대구광역시 달서구 본동 717-2,당연신고,053-639-1377,본동종합사회복지관,식품 및 생활용품 등,신현목,1,2024-07-14,3470000,대구광역시 달서구
달서푸드마켓,푸드마켓,대구광역시,달서구,대구광역시 달서구 구마로14남길 48,대구광역시 달서구 본동 717-2,당연신고,053-639-1377,본동종합사회복지관,식품 및 생활용품 등,신현목,1,2024-07-14,3470000,대구광역시 달서구
성서푸드뱅크,푸드뱅크,대구광역시,달서구,대구광역시 달서구 신당로 56,대구광역시 달서구 신당동 1844,당연신고,053-583-1284,성서종합사회복지관,식품 및 생활용품 등,김병우,1,2024-07-14,3470000,대구광역시 달서구
상록수푸드뱅크,푸드뱅크,대구광역시,달서구,대구광역시 달서구 문화회관3길 25,대구광역시 달서구 장기동 270-22,당연신고,053-716-6123,상록수 재단,식품 및 생활용품 등,김후남,1,2024-07-14,3470000,대구광역시 달서구
두류푸드마켓,푸드마켓,대구광역시,달서구,대구광역시 달서구 두류공원로50길 23,대구광역시 달서구 두류동 141-2,당연신고,053-652-5300,금화복지재단,식품 및 생활용품 등,신경용,1,2024-07-14,3470000,대구광역시 달서구
남구동행푸드마켓,푸드마켓,부산광역시,남구,부산광역시 남구 못골로53번길 12-20,부산광역시 남구 대연동 1388-1,당연신고,051-638-1377,부산남구종합사회복지관,식품 등,윤성희,4,2024-08-12,3310000,부산광역시 남구
남구기초푸드뱅크,푸드뱅크,부산광역시,남구,부산광역시 남구 동제당로 258,부산광역시 남구 우암동 129-339,당연신고,051-647-3655,부산남구종합사회복지관,식품 등,윤성희,3,2024-08-12,3310000,부산광역시 남구
태백푸드뱅크,푸드뱅크,강원특별자치도,태백시,강원특별자치도 태백시 태백로 398-8,강원특별자치도 태백시 화전동 120-1,임의신고,033-553-8888,태백지역자활센터,식품 또는 생활용품,이은숙,3,2024-08-14,4221000,강원특별자치도 태백시
부산진구 기초푸드마켓,푸드마켓,부산광역시,부산진구,부산광역시 부산진구 중앙대로 882(양정동),부산광역시 부산진구 양정동 363-41,당연신고,051-853-1377,당감종합사회복지관,가공식품+신선식품,박현애,3,2024-08-14,3290000,부산광역시 부산진구
부산진구 기초푸드뱅크,푸드뱅크,부산광역시,부산진구,부산광역시 부산진구 당감서로 16(당감동),부산광역시 부산진구 당감동 818-220,당연신고,051-896-2320,당감종합사회복지관,가공식품+신선식품,박현애,1,2024-08-14,3290000,부산광역시 부산진구
남원시사회복지협의회기초푸드뱅크,푸드뱅크,전북특별자치도,남원시,전북특별자치도 남원시 요천로 1531,,임의신고,063-631-0133,남원시사회복지협회,,노재규,9,2024-08-14,4701000,전북특별자치도 남원시
남원시기초푸드뱅크,푸드뱅크,전북특별자치도,남원시,전북특별자치도 남원시 노송로 1255-9,,임의신고,063-632-5252,남원사회복지관,,강정아,12,2024-08-14,4701000,전북특별자치도 남원시
성주군기초푸드뱅크,푸드뱅크,경상북도,성주군,경상북도 성주군 수륜면 성주가야산로614,경상북도 성주군 수륜면 신파리 703-23,임의신고,054-932-3551,실로암육아원,가공식품+신선식품,한정희,,2024-08-14,5210000,경상북도 성주군
군산기초푸드뱅크,푸드뱅크,전북특별자치도,군산시,전북특별자치도 군산시 칠성로 59,,당연신고,063-461-6555,군산종합사회복지관,"가공식품, 신선식품",황성덕,4,2024-08-13,4671000,전북특별자치도 군산시
동군산푸드뱅크,푸드뱅크,전북특별자치도,군산시,전북특별자치도 군산시 서수면 하금길 37-1,,당연신고,063-451-5403,사회복지법인 한기장복지재단,"가공식품, 신선식품",이강권,3,2024-08-13,4671000,전북특별자치도 군산시
여럿이함께푸드뱅크,푸드뱅크,경기도,용인시,"경기도 용인시 처인구 석성로 1087,2층(영문리)",경기도 용인시 처인구 포곡읍 영문리 20-14 2층,당연신고,031-333-1377,여럿이함께푸드뱅크,,,,2024-08-13,4050000,경기도 용인시
아름다운동행푸드뱅크,푸드뱅크,경기도,용인시,"경기도 용인시 처인구 금령로 71번길8, 골드빌 중층 105호(김량장동)",경기도 용인시 처인구 김량장동 254-51 골드빌 중층 105호,당연신고,031-339-1377,아름다운동행푸드뱅크,,,,2024-08-13,4050000,경기도 용인시
희망나눔푸드뱅크,푸드뱅크,경기도,용인시,"경기도 용인시 기흥구 중부대로 242, 오토허브 c동 B101(영덕동)",경기도 용인시 영덕동 1266 오토허브 c동 B101(영덕동),당연신고,031-5182-5903,희망나눔푸드뱅크,,,,2024-08-13,4050000,경기도 용인시
문화협회푸드뱅크,푸드뱅크,경기도,용인시,"경기도 용인시 처인구 경안천로 76, 실내체육관103호(마평동)",경기도 용인시 처인구 마평동 703 실내체육관 103호,당연신고,031-321-9100,문화협회푸드뱅크,,,,2024-08-13,4050000,경기도 용인시
하동군푸드뱅크,푸드뱅크,경상남도,하동군,경상남도 하동군 하동읍 청년회관길 13,경상남도 하동군 하동읍 읍내리 450-5,임의신고,055-884-6955,하동지역자활센터,주식+부식+간식+식재료+기타 생활용품,손호연,,2024-08-13,5440000,경상남도 하동군
화순군푸드뱅크,푸드뱅크,전라남도,화순군,전라남도 화순군 춘양면 학포로 1303-1,전라남도 화순군 춘양면 우봉리 495-1,임의신고,061-371-1377,사회복지법인 소향복지재단,가공식품+신선식품,정소향,1,2024-08-13,4900000,전라남도 화순군
임실군기초푸드뱅크,푸드뱅크,전북특별자치도,임실군,전북특별자치도 임실군 임실읍 운수로 33-46,전북특별자치도 임실군 임실읍 이도리 241-2,당연신고,063-644-4438,임실군노인종합복지관,"주식,부식,간식,식재료,생활용품 등",김윤경,1,2024-08-13,4761000,전북특별자치도 임실군
연제구기초푸드뱅크,푸드뱅크,부산광역시,연제구,부산광역시 연제구 봉수로 17,부산광역시 연제구 연산동 2388,임의신고,051-863-8360,사회복지법인 혜원,식품및생활용품,정일현,1,2024-08-07,3370000,부산광역시 연제구
연제구둥지푸드마켓,푸드마켓,부산광역시,연제구,부산광역시 연제구 월드컵대로187번길 6,부산광역시 연제구 거제동 37-33,임의신고,051-714-1378,사단법인 둥지복지마을,식품및생활용품,김금빈,1,2024-08-07,3370000,부산광역시 연제구
청도기초푸드뱅크,푸드뱅크,경상북도,청도군,경상북도 청도군 화양읍 청화로 79-15,,임의신고,054-373-7575,효사랑실버센터,가공식품+신선식품,권덕수,1,2024-08-13,5190000,경상북도 청도군
증평군푸드뱅크,푸드뱅크,충청북도,증평군,충청북도 증평군 증평읍 창신로 85,충청북도 증평군 증평읍 신동리 545,임의신고,043-836-6040,삼보사회복지관,,정태선,,2024-08-13,5570000,충청북도 증평군
기장기초푸드뱅크,푸드뱅크,부산광역시,기장군,부산광역시 기장군 차성로288길 27 2층,부산광역시 기장군 대라리 73-7 2층,임의신고,051-724-3457,재단법인 대한성공회유지재단 기장지역자,"기부식품, 기부생활용품",이선주,1,2024-08-09,3400000,부산광역시 기장군
기장푸드마켓,푸드마켓,부산광역시,기장군,부산광역시 기장군 차성남로 28,부산광역시 기장군 대라리 1003,임의신고,051-722-4006,사단법인 국제청소년복지연맹,"기부식품, 기부생활용품",구영찬,1,2024-08-09,3400000,부산광역시 기장군
마포행복나눔푸드(뱅크)마켓 1호점,푸드뱅크,서울특별시,마포구,서울특별시 마포구 월드컵로 235,서울특별시 마포구 성산동 533-1,당연신고,02-364-1377,재단법인 마포복지재단,식품+의류+생필품 등,강병일,3,2024-08-06,3130000,서울특별시 마포구
마포행복나눔푸드마켓 2호점,푸드마켓,서울특별시,마포구,서울특별시 마포구 신촌로26길 10,서울특별시 마포구 노고산동 1-50,당연신고,02-703-1377,재단법인 마포복지재단,식품+의류+생필품 등,강병일,2,2024-08-06,3130000,서울특별시 마포구
논산사랑푸드마켓,푸드마켓,충청남도,논산시,충청남도 논산시 관촉로 277번길 23-13,충청남도 논산시 취암동 1043-14,당연신고,070-4177-1377,논산중앙교회,식품 및 생활용품,전종혁,1,2024-08-12,4540000,충청남도 논산시
논산사랑푸드뱅크,푸드뱅크,충청남도,논산시,충청남도 논산시 생뫼길 14,충청남도 논산시 강산동 134-1,당연신고,041-736-1004,논산중앙교회,식품 및 생활용품,전종혁,1,2024-08-12,4540000,충청남도 논산시
함께하는푸드마켓,푸드마켓,부산광역시,수영구,부산광역시 수영구 연수로249번길12-1,부산광역시 수영구 망미동 832-4,당연신고,051-756-1925,수영구 함께하는푸드마켓,식품 및 생활용품,구영찬,3,2024-08-12,3380000,부산광역시 수영구
기초푸드뱅크,푸드뱅크,부산광역시,수영구,부산광역시 수영구 금련로43번길54,부산광역시 수영구 망미동 774-269,임의신고,051-755-3367,부산종합사회복지관,식품,구춘희,2,2024-08-12,3380000,부산광역시 수영구
거창푸드뱅크,푸드뱅크,경상남도,거창군,경상남도 거창군 마리면 거안로 1029,경상남도 거창군 마리면 하고리 68,당연신고,055-942-7934,거창군사회복지협의회,가공식품+신선식품,임규순,1,2024-08-08,5470000,경상남도 거창군
서구푸드뱅크및푸드마켓,푸드뱅크,부산광역시,서구,부산광역시 서구 대영로85번길42,부산광역시 서구 동대신동2가263-20,임의신고+당연신고,051-243-1367,사회복지법인팔복,식품및생활용품,조생래,1,2024-08-01,3260000,부산광역시 서구
동구기초푸드뱅크,푸드뱅크,부산광역시,동구,부산광역시 동구 안창로 57(범일동), 부산광역시 동구 범일동 1542-1,당연신고,051-633-3367,동구종합사회복지관,,김창근,2,2024-08-12,3270000,부산광역시 동구
동구기초푸드마켓,푸드마켓,부산광역시,동구,부산광역시 동구 진성로 68(수정동), 부산광역시 동구 수정동 453-54 ,당연신고,051-905-1378,작은나눔협동조합,,권지후,1,2024-08-12,3270000,부산광역시 동구
완주군기초푸드뱅크,푸드뱅크,전북특별자치도,완주군,전북특별자치도 완주군 삼례읍 별산농원길 20,전북특별자치도 완주군 삼례읍 신금리 425-13,임의신고,063-232-1377,완주지역자활센터,"가공식품, 신선식품",김진왕,1,2024-08-23,4721000,전북특별자치도 완주군
무주행복나눔 푸드마켓 뱅크,푸드마켓+푸드뱅크,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 294,전북특별자치도 무주군 무주읍 당산리 1271,임의신고,063-322-1370,무주지역자활센터,가공식품+신선식품,권삼일,1,2024-08-21,4741000,전북특별자치도 무주군
강릉푸드뱅크,푸드뱅크,강원특별자치도,강릉시,"강원특별자치도 강릉시 종합운동장길 69, B110호(교동)",,당연신고,033-643-1377,강릉시사회복지협의회,,이재석,1,2024-08-14,4201000,강원특별자치도 강릉시
강릉자유푸드뱅크,푸드뱅크,강원특별자치도,강릉시,"강원특별자치도 강릉시 구정면 구정중앙로 158-10, 2층",,당연신고,033-644-8831,내곡자율방범대,,김진구,1,2024-08-14,4201000,강원특별자치도 강릉시
영암군푸드뱅크,푸드뱅크,전라남도,영암군,전라남도 영암군 영암읍 새동네길 22-1,전라남도 영암군 영암읍 교동리 242-3,임의신고,061-471-9933,영암지역자활센터,가공식품+신선식품,이삼행,1,2024-08-20,4940000,전라남도 영암군
장수군사회복지협의회 기초 푸드뱅크,푸드뱅크,전북특별자치도,장수군,"전북특별자치도 장수군 장수읍 시장로 27-9, 101호",전북특별자치도 장수군 장수읍 노하리 527-3,임의신고,063-784-7070,장수군사회복지협의회,가공식품,고강영,5,2024-08-20,4751000,전북특별자치도 장수군
충주시푸드마켓,푸드마켓,충청북도,충주시,충청북도 충주시 주공길 7,,임의신고,043-855-3000,충주종합사회복지관,식품+생활용품,이광훈,1,2024-07-31,4390000,충청북도 충주시
충주시기초푸드뱅크,푸드뱅크,충청북도,충주시,"충청북도 충주시 사직산 21길 34, 지하1층",,당연신고,043-855-1377,충주종합사회복지관,식품+생활용품,이광훈,1,2024-07-31,4390000,충청북도 충주시
춘천시기초푸드뱅크,푸드뱅크,강원특별자치도,춘천시,강원특별자치도 춘천시 중앙로104-1,,,,춘천시사회복지협의회,,,,2024-08-02,4181000,강원특별자치도 춘천시
수원푸드뱅크,푸드뱅크,경기도,수원시,경기도 수원시 팔달구 매산로 86,,당연신고,031-238-1378,우만종합사회복지관,가공식품+신선식품+생필품,황재경,2,2024-08-13,3740000,경기도 수원시
수원해누리푸드마켓,푸드마켓,경기도,수원시,경기도 수원시 팔달구 매산로 86,,당연신고,031-238-1378,우만종합사회복지관,가공식품+신선식품+생필품,황재경,1,2024-08-13,3740000,경기도 수원시
장안푸드뱅크,푸드뱅크,경기도,수원시,경기도 수원시 장안구 장안로63번길 8,,당연신고,031-271-1377,대한기독교 나사렛성결회 영화교회,가공식품+신선식품+생필품,이관호,2,2024-08-13,3740000,경기도 수원시
영통푸드뱅크,푸드뱅크,경기도,수원시,"경기도 수원시 영통구 매봉로27번길 40, 1층",,당연신고,031-212-1641,맑은샘교회,가공식품+신선식품+생필품,윤석경,2,2024-08-13,3740000,경기도 수원시
팔도푸드뱅크,푸드뱅크,경기도,수원시,경기도 수원시 권선구 새터로47번길 88,경기도 수원시 권선구 세류동 639-1,당연신고,031-221-9004,한국나눔사랑봉사연맹,가공식품+신선식품,목에스더김,2,2024-08-13,3740000,경기도 수원시
대전행복나눔무지개푸드마켓4호점,푸드마켓,대전광역시,유성구,대전광역시 유성구 봉산로36번길 1(봉산동),대전광역시 유성구 봉산동 199-5,당연신고,042-935-1377,송강사회복지관,가공식품+신선식품,김영미,2,2024-08-13,3670000,대전광역시 유성구
